video_id,category,subcategory,watched_on,channel,duration
o9CbTmm0dNU,Education,exam_prep,2022-06-13T19:48:02.184Z,Eyüp B. Matematik Geometri,0.11833333333333333
4Juy06z9wHU,Education,exam_prep,2022-06-13T19:43:19.379Z,Eyüp B. Matematik Geometri,0.12361111111111112
da-9ETp3_ZI,Education,exam_prep,2022-06-13T19:43:07.932Z,Eyüp B. Matematik Geometri,0.12666666666666668
hXmyEfMBFzs,Education,exam_prep,2022-06-13T19:31:02.342Z,Eyüp B. Matematik Geometri,0.10611111111111111
_tK8Hp8qLWs,Education,exam_prep,2022-06-13T19:19:29.654Z,Eyüp B. Matematik Geometri,0.16527777777777777
t18K1npG-mk,Education,exam_prep,2022-06-13T19:19:11.332Z,Eyüp B. Matematik Geometri,0.16722222222222222
RQ52a9cf_bc,Education,exam_prep,2022-06-13T18:58:11.487Z,Eyüp B. Matematik Geometri,0.6861111111111111
2ck6wJMx20s,Education,exam_prep,2022-06-13T18:52:08.364Z,Eyüp B. Matematik Geometri,0.5944444444444444
QQh5kJld38Y,Education,exam_prep,2022-06-13T18:49:34.177Z,Eyüp B. Matematik Geometri,0.06194444444444445
Xzf36Cw2Jxw,Education,exam_prep,2022-06-13T18:46:56.605Z,Eyüp B. Matematik Geometri,0.13583333333333333
IGxSBJmyObY,Education,exam_prep,2022-06-13T18:45:58.391Z,ANIL HOCA İLE MATEMATİK,0.03194444444444444
IzYH4aRl3NY,Education,exam_prep,2022-06-13T18:40:48.032Z,Eyüp B. Matematik Geometri,0.15805555555555556
diBTVAeHg6w,Education,other_education,2022-06-13T18:38:14.862Z,Eyüp B. Matematik Geometri,0.06166666666666667
3cYJq164uuM,Education,exam_prep,2022-06-13T18:35:19.924Z,Eyüp B. Matematik Geometri,0.07472222222222222
sKHJM4kXLjc,Education,exam_prep,2022-06-13T18:33:43.174Z,Eyüp B. Matematik Geometri,0.24916666666666668
GEph3j0VfhM,Education,exam_prep,2022-06-12T20:34:19.052Z,Eyüp B. Matematik Geometri,0.24444444444444444
3wqWl8wnPOw,Education,exam_prep,2022-06-11T20:38:12.391Z,kimyabilen,0.7461111111111111
m_7jDZsx4zw,Education,exam_prep,2021-05-09T16:44:57.901Z,kimyabilen,1.0286111111111111
4IB60hew6dQ,Education,exam_prep,2022-06-13T17:08:23.725Z,kimyabilen,0.5613888888888889
Wbe3PRJjtjE,Education,exam_prep,2022-05-14T20:01:17.975Z,VIP FİZİK,0.08333333333333333
vwYDaRc3tV4,Education,exam_prep,2022-06-13T16:57:47.570Z,VIP FİZİK,0.015833333333333335
6cvmXkeZ7Xw,Education,exam_prep,2022-06-13T16:02:22.991Z,Fati’nin Günlüğü ,0.01611111111111111
qVKZkMvq7KI,Education,exam_prep,2022-06-13T13:56:41.605Z,FİZİK EVİM,0.09805555555555556
5wLvDxBzQSg,Education,exam_prep,2022-06-13T13:56:02.300Z,FİZİK EVİM,1.4913888888888889
7hqAKFsWtPI,People & Blogs,other_people_blogs,2022-06-13T13:36:40.046Z,Oğulcan Aşıkoğlu,0.0077777777777777776
uO0eQyMQyG4,People & Blogs,other_people_blogs,2022-06-13T13:36:11.927Z,editreas,0.0038888888888888888
0ZP-bihSNVQ,People & Blogs,other_people_blogs,2022-06-13T13:35:48.134Z,kinik emrecik,0.01
vQiBUJ-eO-4,Entertainment,other_entertainment,2022-06-13T12:57:35.784Z,Sena Gölbaşı,0.05472222222222222
FsywMQtcYXc,Entertainment,other_entertainment,2022-06-13T12:57:13.062Z,Sena Gölbaşı,0.060833333333333336
7B7l0L1Qz1k,Gaming,streaming,2020-06-09T13:03:54.828Z,Dost Kayaoğlu,0.7591666666666667
NeCBmLiu32c,Education,exam_prep,2022-06-13T10:53:24.450Z,Ertan Sinan Şahin,1.7252777777777777
knJDvHQdM7I,Education,exam_prep,2022-02-23T17:33:22.093Z,VIP FİZİK,1.2627777777777778
gBVsCyrkeyc,Gaming,strategy,2022-06-12T13:58:38.089Z,TommyKayVIBE,0.10138888888888889
KkeNOhqjhc4,People & Blogs,tech_reviews,2022-06-13T09:46:59.105Z,Businessunlock,0.008055555555555555
seNX0Ijsk8s,People & Blogs,other_people_blogs,2022-06-13T09:46:58.133Z,Football Verse,0.0044444444444444444
r9mPV4YqLBA,Gaming,strategy,2022-06-13T08:23:55.150Z,Koinuss,0.009166666666666667
rRjP75gYMyc,Gaming,streaming,2020-10-20T13:50:40.023Z,Dost Kayaoğlu,0.7130555555555556
hmPylMAA1LM,Entertainment,comedy,2022-06-13T06:20:00.160Z,TommyKayClips,0.008611111111111111
2GG1N69lgrU,Entertainment,comedy,2022-06-13T06:14:33.540Z,TommyKayClips,0.009722222222222222
QjoaJAJot_8,Education,exam_prep,2022-06-12T21:36:41.817Z,Unknown Channel,0.08416666666666667
9vD1858CBKM,Education,exam_prep,2022-06-12T20:40:29.279Z,Yektug Mat YKS DGS ALES KPSS,0.1438888888888889
HdkiT9OSs-Y,Education,exam_prep,2022-06-12T20:29:55.482Z,Eyüp B. Matematik Geometri,0.11083333333333334
sBpYyR-3Reg,Education,exam_prep,2022-06-12T20:25:10.211Z,Eyüp B. Matematik Geometri,0.2511111111111111
28U-YnBlbHk,Education,exam_prep,2022-06-12T20:20:36.324Z,Eyüp B. Matematik Geometri,0.18138888888888888
lX4eUxaVyLs,Education,exam_prep,2022-06-12T20:12:58.923Z,Eyüp B. Matematik Geometri,0.12666666666666668
T4zdWhmKbWg,Education,exam_prep,2022-06-12T20:08:54.602Z,Eyüp B. Matematik Geometri,0.22111111111111112
YqJ8MAgsxqw,Education,exam_prep,2022-06-12T20:06:15.752Z,Eyüp B. Matematik Geometri,0.2461111111111111
5yow_XlW_JI,Education,exam_prep,2022-06-12T19:24:43.246Z,Eyüp B. Matematik Geometri,0.1125
JR615DRE13I,Education,exam_prep,2022-06-12T19:24:35.743Z,Eyüp B. Matematik Geometri,0.21222222222222223
kPvdZbK42fk,Education,exam_prep,2022-06-12T19:19:09.459Z,Eyüp B. Matematik Geometri,0.19166666666666668
EeO2uedxS04,Education,exam_prep,2022-06-12T19:16:00.697Z,Eyüp B. Matematik Geometri,0.22194444444444444
fguRhTDUII4,Education,exam_prep,2022-06-12T19:13:36.464Z,Eyüp B. Matematik Geometri,0.19916666666666666
